tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
7865,1789597233542000,-0.080791473,-0.598982632,0.314048767,0.033218395,1,31.781162262,0.923110127,54.693847656,0,133.650000000,0.000000000,0.000000000
7866,1789597233559000,-0.079772949,-0.598988056,0.280838013,0.033226367,1,31.752002716,0.926441967,54.950206757,0,133.666666667,0.000000000,0.000000000
7867,1789597233578000,-0.078762054,-0.598993063,0.247604370,0.033249013,1,31.722850800,0.930458069,55.207191467,0,133.683333333,0.000000000,0.000000000
7868,1789597233596000,-0.077751160,-0.598996997,0.214363098,0.033256639,1,31.693716049,0.934976220,55.464748383,0,133.700000000,0.000000000,0.000000000
7869,1789597233607000,-0.076732635,-0.598999798,0.181110382,0.033268310,1,31.664604187,0.939828038,55.722835541,0,133.716666667,0.000000000,0.000000000
7870,1789597233625000,-0.075714111,-0.599001288,0.147830963,0.033295002,1,31.635517120,0.944860101,55.981410980,0,133.733333333,0.000000000,0.000000000
7871,1789597233643000,-0.074695587,-0.599002063,0.114555359,0.033291187,1,31.606460571,0.949936390,56.240444183,0,133.750000000,0.000000000,0.000000000
7872,1789597233662000,-0.073677063,-0.599001765,0.081256866,0.033314064,1,31.577428818,0.954937935,56.499912262,0,133.766666667,0.000000000,0.000000000
7873,1789597233674000,-0.072650909,-0.599001169,0.047943115,0.033329550,1,31.548418045,0.959763944,56.759792328,0,133.783333333,0.000000000,0.000000000
7874,1789597233693000,-0.071628571,-0.599000275,0.014625549,0.033333246,1,31.519428253,0.964331031,57.020072937,0,133.800000000,0.000000000,0.000000000
7875,1789597233710000,-0.070598602,-0.598999083,-0.018707275,0.033348735,1,31.490451813,0.968572676,57.280754089,0,133.816666667,0.000000000,0.000000000
7876,1789597233729000,-0.069576263,-0.598998308,-0.052043915,0.033352312,1,31.461483002,0.972438931,57.541820526,0,133.833333333,0.000000000,0.000000000
7877,1789597233740000,-0.068550110,-0.598997474,-0.085388184,0.033360053,1,31.432514191,0.975894809,57.803276062,0,133.850000000,0.000000000,0.000000000
7878,1789597233759000,-0.067520142,-0.598996878,-0.118736267,0.033363987,1,31.403535843,0.978918970,58.065128326,0,133.866666667,0.000000000,0.000000000
