tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
180,1789618912534000,0.212455750,-0.599463165,0.815383911,0.033377491,1,29.999996185,0.977494776,-82.163955688,166,5.533333333,5.483333333,0.139602661
181,1789618912550000,0.218183517,-0.599469781,0.783905029,0.031995740,1,29.999994278,0.977494776,-82.022964478,166,5.533333333,5.500000000,0.140991211
182,1789618912568000,0.223871231,-0.599467754,0.751029968,0.033363447,1,29.999992371,0.977494776,-81.881973267,167,5.566666667,5.516666667,0.140991211
183,1789618912584000,0.223869324,-0.599472344,0.752410889,0.001380929,1,29.999990463,0.977494776,-81.739601135,167,5.566666667,5.533333333,0.142372131
184,1789618912602000,0.223871231,-0.599472344,0.752418518,0.000007864,1,29.999988556,0.977494776,-81.597229004,168,5.600000000,5.550000000,0.142372131
185,1789618912617000,0.223871231,-0.599476814,0.753791809,0.001373298,1,29.999986649,0.977494776,-81.453483582,168,5.600000000,5.566666667,0.143745422
186,1789618912634000,0.223869324,-0.599476814,0.753791809,0.000001907,1,29.999984741,0.977494776,-81.309738159,169,5.633333333,5.583333333,0.143745422
187,1789618912651000,0.223871231,-0.599481344,0.755165100,0.001373300,1,29.999982834,0.977494776,-81.164619446,169,5.633333333,5.600000000,0.145118713
188,1789618912667000,0.223871231,-0.599481344,0.755157471,0.000007629,1,29.999980927,0.977494776,-81.019500732,170,5.666666667,5.616666667,0.145118713
189,1789618912683000,0.223871231,-0.599485755,0.756523132,0.001365669,1,29.999979019,0.977494776,-80.873016357,170,5.666666667,5.633333333,0.146484375
190,1789618912700000,0.223869324,-0.599485755,0.756530762,0.000007864,1,29.999977112,0.977494776,-80.726524353,171,5.700000000,5.650000000,0.146492004
191,1789618912718000,0.223871231,-0.599490225,0.757888794,0.001358041,1,29.999975204,0.977494776,-80.578674316,171,5.700000000,5.666666667,0.147850037
192,1789618912733000,0.223871231,-0.599490225,0.757888794,0.000000000,1,29.999973297,0.977494776,-80.430824280,172,5.733333333,5.683333333,0.147850037
193,1789618912751000,0.223869324,-0.599494755,0.759246826,0.001358041,1,29.999971390,0.977494776,-80.281616211,172,5.733333333,5.700000000,0.149208069
