tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
2740,43.2791,-0.5245,-11.1426,44.8352,0.3334,1,0.0000
2741,43.2791,-0.5246,-11.0760,44.8178,0.0667,1,0.0000
2742,43.1161,-0.5202,-11.3646,44.7366,0.3316,1,0.0000
2743,43.1161,-0.5203,-11.2980,44.7188,0.0667,1,0.0000
2744,42.9504,-0.5151,-11.5829,44.6358,0.3297,1,0.0000
2745,42.9504,-0.5152,-11.5163,44.6177,0.0667,1,0.0000
2746,42.7821,-0.5096,-11.7975,44.5330,0.3278,1,0.0000
2747,42.7821,-0.5097,-11.7308,44.5145,0.0667,1,0.0000
2748,42.6113,-0.5038,-12.0082,44.4281,0.3258,1,0.0000
2749,42.6113,-0.5039,-11.9415,44.4093,0.0667,1,0.0000
2750,42.4379,-0.4980,-12.2150,44.3211,0.3239,1,0.0000
2751,42.4379,-0.4981,-12.1484,44.3019,0.0667,1,0.0000
2752,42.2622,-0.4923,-12.4179,44.2120,0.3219,1,0.0000
2753,42.2622,-0.4924,-12.3513,44.1925,0.0667,1,0.0000
2754,42.0840,-0.4868,-12.6169,44.1008,0.3199,1,0.0000
2755,42.0840,-0.4870,-12.5502,44.0809,0.0667,1,0.0000
2756,41.9035,-0.4817,-12.8118,43.9875,0.3179,1,0.0000
2757,41.9035,-0.4819,-12.7451,43.9673,0.0667,1,0.0000
2758,41.7207,-0.4770,-13.0026,43.8721,0.3158,1,0.0000
2759,41.7207,-0.4772,-12.9359,43.8515,0.0667,1,0.0000
2760,41.5357,-0.4727,-13.1894,43.7545,0.3138,1,0.0000
2761,41.5357,-0.4728,-13.1227,43.7336,0.0667,1,0.0000
2762,41.3485,-0.4688,-13.3720,43.6348,0.3118,1,0.0000
2763,41.3485,-0.4689,-13.3053,43.6136,0.0667,1,0.0000
2764,41.1591,-0.4652,-13.5505,43.5130,0.3098,1,0.0000
2765,41.1591,-0.4653,-13.4839,43.4915,0.0667,1,0.0000
2766,40.9677,-0.4619,-13.7249,43.3891,0.3079,1,0.0000
2767,40.9677,-0.4620,-13.6582,43.3672,0.0667,1,0.0000
2768,40.7741,-0.4588,-13.8951,43.2631,0.3059,1,0.0000
2769,40.7741,-0.4590,-13.8285,43.2408,0.0667,1,0.0000
2770,40.5786,-0.4559,-14.0612,43.1348,0.3040,1,0.0000
2771,40.5786,-0.4561,-13.9946,43.1123,0.0667,1,0.0000
2772,40.3810,-0.4531,-14.2232,43.0045,0.3022,1,0.0000
2773,40.3810,-0.4533,-14.1565,42.9816,0.0667,1,0.0000
2774,40.1815,-0.4504,-14.3810,42.8720,0.3004,1,0.0000
2775,40.1815,-0.4505,-14.3144,42.8488,0.0667,1,0.0000
2776,39.9801,-0.4476,-14.5348,42.7373,0.2986,1,0.0000
2777,39.9801,-0.4477,-14.4681,42.7138,0.0667,1,0.0000
2778,39.7767,-0.4447,-14.6845,42.6005,0.2969,1,0.0000
2779,39.7767,-0.4449,-14.6178,42.5767,0.0667,1,0.0000
2780,39.5715,-0.4418,-14.8301,42.4616,0.2953,1,0.0000
2781,39.5715,-0.4419,-14.7635,42.4375,0.0667,1,0.0000
2782,39.3644,-0.4387,-14.9718,42.3204,0.2938,1,0.0000
2783,39.3644,-0.4389,-14.9051,42.2960,0.0667,1,0.0000
2784,39.1554,-0.4355,-15.1095,42.1772,0.2923,1,0.0000
2785,39.1554,-0.4357,-15.0429,42.1524,0.0667,1,0.0000
2786,38.9446,-0.4321,-15.2434,42.0317,0.2910,1,0.0000
2787,38.9446,-0.4323,-15.1767,42.0067,0.0667,1,0.0000
2788,38.7319,-0.4286,-15.3734,41.8841,0.2897,1,0.0000
2789,38.7319,-0.4287,-15.3068,41.8587,0.0667,1,0.0000
2790,38.5173,-0.4249,-15.4998,41.7342,0.2886,1,0.0000
2791,38.5174,-0.4251,-15.4331,41.7086,0.0667,1,0.0000
2792,38.3009,-0.4211,-15.6225,41.5822,0.2876,1,0.0000
2793,38.3009,-0.4212,-15.5558,41.5563,0.0667,1,0.0000
2794,38.0826,-0.4170,-15.7416,41.4280,0.2867,1,0.0000
2795,38.0826,-0.4172,-15.6750,41.4018,0.0667,1,0.0000
2796,37.8624,-0.4129,-15.8574,41.2715,0.2860,1,0.0000
2797,37.8624,-0.4130,-15.7907,41.2450,0.0667,1,0.0000
2798,37.6401,-0.4085,-15.9698,41.1129,0.2854,1,0.0000
2799,37.6401,-0.4087,-15.9032,41.0861,0.0667,1,0.0000
2800,37.4159,-0.4040,-16.0791,40.9520,0.2851,1,0.0000
2801,37.4159,-0.4042,-16.0124,40.9249,0.0667,1,0.0000
2802,37.1896,-0.3994,-16.1854,40.7889,0.2849,1,0.0000
2803,37.1896,-0.3995,-16.1187,40.7615,0.0667,1,0.0000
2804,36.9611,-0.3945,-16.2888,40.6235,0.2849,1,0.0000
2805,36.9611,-0.3946,-16.2221,40.5959,0.0667,1,0.0000
2806,36.7304,-0.3894,-16.3895,40.4559,0.2851,1,0.0000
2807,36.7304,-0.3896,-16.3229,40.4280,0.0667,1,0.0000
2808,36.4974,-0.3841,-16.4878,40.2859,0.2855,1,0.0000
2809,36.4974,-0.3843,-16.4211,40.2578,0.0667,1,0.0000
2810,36.2619,-0.3786,-16.5838,40.1137,0.2863,1,0.0000
2811,36.2619,-0.3787,-16.5171,40.0852,0.0667,1,0.0000
2812,36.0238,-0.3728,-16.6777,39.9391,0.2872,1,0.0000
2813,36.0238,-0.3729,-16.6111,39.9104,0.0667,1,0.0000
2814,35.7831,-0.3666,-16.7699,39.7622,0.2885,1,0.0000
2815,35.7831,-0.3667,-16.7033,39.7332,0.0667,1,0.0000
2816,35.5453,-0.3676,-16.8493,39.5832,0.2790,1,0.0000
2817,35.5453,-0.3678,-16.7826,39.5540,0.0667,1,0.0000
2818,35.3240,-0.3917,-16.8909,39.4030,0.2475,1,0.0000
2819,35.3240,-0.3918,-16.8242,39.3735,0.0667,1,0.0000
2820,35.1135,-0.4278,-16.9072,39.2214,0.2292,1,0.0000
2821,35.1135,-0.4280,-16.8405,39.1917,0.0667,1,0.0000
2822,34.9099,-0.4683,-16.9059,39.0385,0.2175,1,0.0000
2823,34.9099,-0.4685,-16.8392,39.0087,0.0667,1,0.0000
2824,34.7112,-0.5075,-16.8915,38.8544,0.2092,1,0.0000
2825,34.7112,-0.5077,-16.8249,38.8245,0.0667,1,0.0000
2826,34.5160,-0.5417,-16.8670,38.6690,0.2026,1,0.0000
2827,34.5160,-0.5419,-16.8004,38.6390,0.0667,1,0.0000
2828,34.3235,-0.5688,-16.8341,38.4823,0.1973,1,0.0000
2829,34.3235,-0.5689,-16.7674,38.4522,0.0667,1,0.0000
2830,34.1332,-0.5876,-16.7938,38.2944,0.1930,1,0.0000
2831,34.1332,-0.5877,-16.7271,38.2642,0.0667,1,0.0000
2832,33.9449,-0.5981,-16.7469,38.1053,0.1896,1,0.0000
2833,33.9449,-0.5983,-16.6802,38.0750,0.0667,1,0.0000
2834,33.7583,-0.6010,-16.6937,37.9150,0.1871,1,0.0010
2835,33.7584,-0.6012,-16.6270,37.8847,0.0667,1,0.0012
2836,33.5735,-0.5973,-16.6347,37.7235,0.1851,1,0.0000
2837,33.5735,-0.5975,-16.5680,37.6931,0.0667,1,0.0000
2838,33.3903,-0.5886,-16.5699,37.5309,0.1835,1,0.0000
2839,33.3903,-0.5887,-16.5033,37.5005,0.0667,1,0.0000
2840,33.2086,-0.5761,-16.4997,37.3373,0.1821,1,0.0000
2841,33.2086,-0.5763,-16.4330,37.3069,0.0667,1,0.0000
2842,33.0286,-0.5615,-16.4241,37.1426,0.1809,1,0.0000
2843,33.0286,-0.5617,-16.3575,37.1122,0.0667,1,0.0000
2844,32.8501,-0.5460,-16.3434,36.9469,0.1797,1,0.0000
2845,32.8501,-0.5462,-16.2767,36.9165,0.0667,1,0.0000
2846,32.6731,-0.5309,-16.2575,36.7503,0.1787,1,0.0000
2847,32.6731,-0.5311,-16.1909,36.7199,0.0667,1,0.0000
2848,32.4977,-0.5170,-16.1667,36.5528,0.1777,1,0.0000
2849,32.4977,-0.5171,-16.1001,36.5224,0.0667,1,0.0000
2850,32.3237,-0.5049,-16.0712,36.3545,0.1768,1,0.0000
2851,32.3237,-0.5050,-16.0045,36.3240,0.0667,1,0.0000
2852,32.1513,-0.4950,-15.9709,36.1553,0.1760,1,0.0000
2853,32.1513,-0.4952,-15.9043,36.1248,0.0667,1,0.0000
2854,31.9803,-0.4875,-15.8662,35.9553,0.1754,1,0.0000
2855,31.9803,-0.4876,-15.7995,35.9249,0.0667,1,0.0000
2856,31.8107,-0.4823,-15.7571,35.7547,0.1749,1,0.0000
2857,31.8107,-0.4824,-15.6904,35.7243,0.0667,1,0.0000
2858,31.6425,-0.4792,-15.6439,35.5533,0.1746,1,0.0000
2859,31.6425,-0.4794,-15.5772,35.5230,0.0667,1,0.0000
2860,31.4756,-0.4779,-15.5266,35.3514,0.1744,1,0.0000
2861,31.4756,-0.4780,-15.4600,35.3211,0.0667,1,0.0000
2862,31.3100,-0.4779,-15.4056,35.1488,0.1743,1,0.0000
2863,31.3100,-0.4781,-15.3389,35.1186,0.0667,1,0.0000
2864,31.1456,-0.4789,-15.2809,34.9458,0.1743,1,0.0000
2865,31.1456,-0.4791,-15.2142,34.9156,0.0667,1,0.0000
2866,30.9824,-0.4805,-15.1528,34.7422,0.1744,1,0.0000
2867,30.9824,-0.4806,-15.0862,34.7121,0.0667,1,0.0000
2868,30.8201,-0.4821,-15.0216,34.5382,0.1746,1,0.0000
2869,30.8201,-0.4823,-14.9549,34.5081,0.0667,1,0.0000
2870,30.6589,-0.4834,-14.8874,34.3337,0.1748,1,0.0000
2871,30.6589,-0.4836,-14.8207,34.3038,0.0667,1,0.0000
2872,30.4985,-0.4842,-14.7504,34.1289,0.1751,1,0.0000
2873,30.4985,-0.4844,-14.6838,34.0991,0.0667,1,0.0000
2874,30.3389,-0.4842,-14.6111,33.9238,0.1754,1,0.0000
2875,30.3389,-0.4844,-14.5444,33.8940,0.0667,1,0.0000
2876,30.1799,-0.4833,-14.4696,33.7183,0.1757,1,0.0000
2877,30.1799,-0.4834,-14.4030,33.6887,0.0667,1,0.0000
2878,30.0214,-0.4811,-14.3263,33.5126,0.1761,1,0.0000
2879,30.0214,-0.4813,-14.2597,33.4831,0.0667,1,0.0000
2880,29.8632,-0.4779,-14.1816,33.3067,0.1764,1,0.0000
2881,29.8632,-0.4780,-14.1149,33.2772,0.0667,1,0.0000
2882,29.7052,-0.4733,-14.0357,33.1005,0.1768,1,0.0000
2883,29.7052,-0.4735,-13.9691,33.0711,0.0667,1,0.0000
2884,29.5646,-0.4902,-13.8566,32.8953,0.1808,1,0.0000
2885,29.5646,-0.4904,-13.7899,32.8662,0.0667,1,0.0000
2886,29.4781,-0.5739,-13.5748,32.6946,0.2465,1,0.0000
2887,29.4781,-0.5741,-13.5081,32.6659,0.0667,1,0.0000
2888,29.4239,-0.6900,-13.2304,32.4982,0.3058,1,0.0900
2889,29.4239,-0.6902,-13.1637,32.4700,0.0667,1,0.0902
2890,29.3886,-0.8150,-12.8474,32.3060,0.3418,1,0.2150
2891,29.3886,-0.8151,-12.7808,32.2783,0.0667,1,0.2151
2892,29.3645,-0.9329,-12.4402,32.1180,0.3611,1,0.3329
2893,29.3645,-0.9331,-12.3736,32.0910,0.0667,1,0.3331
2894,29.3471,-1.0338,-12.0175,31.9343,0.3705,1,0.4338
2895,29.3471,-1.0340,-11.9508,31.9081,0.0667,1,0.4340
2896,29.3339,-1.1122,-11.5843,31.7551,0.3750,1,0.5122
2897,29.3339,-1.1124,-11.5177,31.7296,0.0667,1,0.5124
2898,29.3235,-1.1658,-11.1439,31.5804,0.3777,1,0.5658
2899,29.3234,-1.1660,-11.0772,31.5557,0.0667,1,0.5660
2900,29.3150,-1.1950,-10.6980,31.4105,0.3804,1,0.5950
2901,29.3150,-1.1952,-10.6313,31.3866,0.0667,1,0.5952
2902,29.3081,-1.2020,-10.2478,31.2455,0.3837,1,0.6020
2903,29.3081,-1.2022,-10.1811,31.2225,0.0667,1,0.6022
2904,29.3023,-1.1902,-9.7939,31.0856,0.3875,1,0.5902
2905,29.3023,-1.1904,-9.7272,31.0634,0.0667,1,0.5904
2906,29.2973,-1.1638,-9.3367,30.9309,0.3915,1,0.5638
2907,29.2973,-1.1641,-9.2700,30.9097,0.0667,1,0.5641
2908,29.2928,-1.1273,-8.8764,30.7818,0.3954,1,0.5273
2909,29.2928,-1.1276,-8.8097,30.7614,0.0667,1,0.5276
2910,29.2888,-1.0850,-8.4131,30.6383,0.3989,1,0.4850
2911,29.2888,-1.0852,-8.3465,30.6189,0.0667,1,0.4852
2912,29.2851,-1.0407,-7.9470,30.5008,0.4019,1,0.4407
