tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
195,0.0000,-0.5995,1.6493,1.0827,0.0653,1,0.0000
196,0.0000,-0.5995,1.5826,1.0160,0.0667,1,0.0000
197,0.0000,-0.5995,1.5173,0.9507,0.0654,1,0.0000
198,0.0000,-0.5995,1.4506,0.8840,0.0667,1,0.0000
199,0.0000,-0.5995,1.3852,0.8186,0.0654,1,0.0000
200,0.0000,-0.5995,1.3185,0.7519,0.0667,1,0.0000
201,0.0000,-0.5995,1.2531,0.6866,0.0654,1,0.0000
202,0.0000,-0.5995,1.1865,0.6199,0.0667,1,0.0000
203,0.0000,-0.6002,1.1172,0.5507,0.0692,1,0.0002
204,0.0000,-0.6000,1.0506,0.4840,0.0667,1,0.0000
205,0.0000,-0.6017,0.9808,0.4142,0.0698,1,0.0017
206,0.0000,-0.6014,0.9141,0.3476,0.0666,1,0.0014
207,0.0000,-0.6025,0.8484,0.2818,0.0657,1,0.0025
208,0.0000,-0.6022,0.7819,0.2153,0.0666,1,0.0022
209,-0.0000,-0.6031,0.7162,0.1497,0.0657,1,0.0031
210,-0.0000,-0.6028,0.6497,0.0832,0.0665,1,0.0028
211,-0.0000,-0.6035,0.5842,0.0182,0.0655,1,0.0035
212,-0.0000,-0.6031,0.5178,0.0489,0.0664,1,0.0031
213,-0.0000,-0.6036,0.4524,0.1143,0.0654,1,0.0036
214,-0.0000,-0.6032,0.3861,0.1805,0.0663,1,0.0032
215,-0.0000,-0.6034,0.3208,0.2458,0.0653,1,0.0034
216,-0.0000,-0.6030,0.2546,0.3120,0.0662,1,0.0030
217,-0.0000,-0.6029,0.1894,0.3772,0.0652,1,0.0029
218,-0.0000,-0.6025,0.1233,0.4433,0.0661,1,0.0025
219,-0.0000,-0.6022,0.0583,0.5083,0.0651,1,0.0022
220,-0.0000,-0.6017,-0.0077,0.5743,0.0659,1,0.0017
221,-0.0000,-0.6012,-0.0726,0.6392,0.0650,1,0.0012
222,-0.0000,-0.6008,-0.1384,0.7050,0.0658,1,0.0008
